threshold,accuracy,precision,recall,f1,predicted_churn_customers,correctly_identified_churn,missed_churn_customers,false_churn_alerts,true_no_churn,predicted_churn_rate,churn_miss_rate
0.1,0.3321504613200852,0.2840822543792841,0.9973262032085561,0.44220509780675754,1313,373,1,940,95,0.9318665720369056,0.00267379679144385
0.15,0.41305890702625975,0.3107769423558897,0.9946524064171123,0.47358370464672184,1197,372,2,825,210,0.8495386799148332,0.0053475935828877
0.2,0.46557842441447833,0.33065236818588023,0.9893048128342246,0.4956463496316142,1119,370,4,749,286,0.794180269694819,0.0106951871657754
0.25,0.5393896380411639,0.3639960435212661,0.983957219251337,0.5314079422382672,1011,368,6,643,392,0.7175301632363378,0.016042780748663103
0.3,0.5982966643009227,0.394273127753304,0.9572192513368984,0.5585023400936038,908,358,16,550,485,0.6444286728176012,0.0427807486631016
0.35,0.6415897799858056,0.4204131227217497,0.9251336898395722,0.5781119465329991,823,346,28,477,558,0.5841022001419447,0.0748663101604278
0.4,0.6749467707594038,0.4441489361702128,0.893048128342246,0.5932504440497336,752,334,40,418,617,0.5337118523775728,0.10695187165775401
0.443,0.7026259758694109,0.4675324675324675,0.8663101604278075,0.6073102155576382,693,324,50,369,666,0.4918381831085876,0.13368983957219252
0.45,0.7054648687012065,0.47016011644832606,0.8636363636363636,0.6088595664467483,687,323,51,364,671,0.48757984386089426,0.13636363636363635
0.5,0.7395315826827538,0.5058430717863105,0.8101604278074866,0.6228160328879754,599,303,71,296,739,0.4251242015613911,0.18983957219251338
0.6,0.7920511000709723,0.5971223021582733,0.6657754010695187,0.629582806573957,417,249,125,168,867,0.29595457771469125,0.3342245989304813
0.7,0.8019872249822569,0.6806083650190115,0.4786096256684492,0.5620094191522763,263,179,195,84,951,0.18665720369056069,0.5213903743315508
0.8,0.7764371894960965,0.6903225806451613,0.28609625668449196,0.4045368620037807,155,107,267,48,987,0.11000709723207949,0.713903743315508
